factuurnr,datum,leverancier,omschrijving,bedrag_excl,btw_tarief,btw_bedrag,bedrag_incl,categorie
INK-2025-001,2025-01-31,Vastgoed Verhuur BV,Kantoorhuur januari,850.00,21%,178.50,1028.50,huisvesting
INK-2025-002,2025-02-28,CloudSoft Inc.,Softwarelicenties februari,125.00,21%,26.25,151.25,ict
INK-2025-003,2025-03-05,NS / KLM,Zakelijke reiskosten Q1,380.00,9%,34.20,414.20,reiskosten
INK-2025-004,2025-04-30,AON Verzekeringen,Beroepsaansprakelijkheid 2025,220.00,vrij,0.00,220.00,verzekering
INK-2025-005,2025-06-30,Vastgoed Verhuur BV,Kantoorhuur Q2,2550.00,21%,535.50,3085.50,huisvesting
INK-2025-006,2025-06-01,MediaMarkt,Laptop afschrijving H1,416.67,0%,0.00,416.67,afschrijving
INK-2025-007,2025-09-30,Vastgoed Verhuur BV,Kantoorhuur Q3,2550.00,21%,535.50,3085.50,huisvesting
INK-2025-008,2025-11-30,Fiscaal Instituut NL,Vakliteratuur en opleiding,750.00,9%,67.50,817.50,opleiding
INK-2025-009,2025-12-31,Vastgoed Verhuur BV,Kantoorhuur Q4,2550.00,21%,535.50,3085.50,huisvesting
INK-2025-010,2025-12-31,MediaMarkt,Laptop afschrijving H2,416.67,0%,0.00,416.67,afschrijving
